User	Kernel	Total
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_weakly_compliant_2', 'apia_options_misc_2', 'apia_options_auth_non_compliant_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_do_action_2', 'apia_options_obl_refrain_from_action_2', 'apia_options_misc_2'})>)
3.78	0.05	3.46
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_weakly_compliant_2', 'apia_options_misc_2', 'apia_options_auth_non_compliant_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_refrain_from_action_2', 'apia_options_misc_2', 'apia_options_obl_do_action_2'})>)
3.79	0.04	3.46
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_weakly_compliant_2', 'apia_options_auth_non_compliant_2', 'apia_options_misc_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_refrain_from_action_2', 'apia_options_obl_do_action_2', 'apia_options_misc_2'})>)
3.77	0.06	3.47
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_misc_2', 'apia_options_auth_non_compliant_2', 'apia_options_auth_weakly_compliant_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_do_action_2', 'apia_options_obl_refrain_from_action_2', 'apia_options_misc_2'})>)
3.76	0.05	3.44
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_non_compliant_2', 'apia_options_misc_2', 'apia_options_auth_weakly_compliant_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_refrain_from_action_2', 'apia_options_misc_2', 'apia_options_obl_do_action_2'})>)
3.74	0.04	3.41
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_weakly_compliant_2', 'apia_options_misc_2', 'apia_options_auth_non_compliant_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_do_action_2', 'apia_options_obl_refrain_from_action_2', 'apia_options_misc_2'})>)
3.78	0.09	3.46
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.BEST_EFFORT: frozenset({'apia_options_auth_weakly_compliant_2', 'apia_options_auth_non_compliant_2', 'apia_options_misc_2'})>, obligation=<APIAObligationSetting.BEST_EFFORT: frozenset({'apia_options_obl_do_action_2', 'apia_options_misc_2', 'apia_options_obl_refrain_from_action_2'})>)
3.77	0.06	3.45
