User	Kernel	Total
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_weakly_compliant_3', 'apia_options_auth_non_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.08	0.02	2.84
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_non_compliant_3', 'apia_options_auth_weakly_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_do_action_3', 'apia_options_obl_refrain_from_action_3'})>)
3.14	0.04	2.90
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_weakly_compliant_3', 'apia_options_auth_non_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.09	0.03	2.85
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_weakly_compliant_3', 'apia_options_auth_non_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_do_action_3', 'apia_options_obl_refrain_from_action_3'})>)
3.16	0.05	2.87
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_non_compliant_3', 'apia_options_auth_weakly_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.24	0.03	2.91
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_non_compliant_3', 'apia_options_auth_weakly_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.06	0.06	2.85
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_weakly_compliant_3', 'apia_options_auth_non_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.15	0.04	2.91
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_weakly_compliant_3', 'apia_options_auth_non_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_do_action_3', 'apia_options_obl_refrain_from_action_3'})>)
3.09	0.03	2.83
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.UTILITARIAN: frozenset({'apia_options_auth_non_compliant_3', 'apia_options_auth_weakly_compliant_3'})>, obligation=<APIAObligationSetting.UTILITARIAN: frozenset({'apia_options_obl_refrain_from_action_3', 'apia_options_obl_do_action_3'})>)
3.17	0.07	2.95
