User	Kernel	Total
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_weakly_compliant_1', 'apia_options_auth_non_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_do_action_1', 'apia_options_obl_refrain_from_action_1'})>)
3.06	0.02	2.84
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_weakly_compliant_1', 'apia_options_auth_non_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_refrain_from_action_1', 'apia_options_obl_do_action_1'})>)
3.14	0.04	2.92
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_non_compliant_1', 'apia_options_auth_weakly_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_refrain_from_action_1', 'apia_options_obl_do_action_1'})>)
3.04	0.03	2.81
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_non_compliant_1', 'apia_options_auth_weakly_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_refrain_from_action_1', 'apia_options_obl_do_action_1'})>)
3.03	0.03	2.81
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_weakly_compliant_1', 'apia_options_auth_non_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_do_action_1', 'apia_options_obl_refrain_from_action_1'})>)
3.06	0.03	2.84
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_weakly_compliant_1', 'apia_options_auth_non_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_do_action_1', 'apia_options_obl_refrain_from_action_1'})>)
3.07	0.01	2.84
Running with configuration: APIAConfiguration(authorization=<APIAAuthorizationSetting.PARANOID: frozenset({'apia_options_auth_weakly_compliant_1', 'apia_options_auth_non_compliant_1'})>, obligation=<APIAObligationSetting.SUBORDINATE: frozenset({'apia_options_obl_refrain_from_action_1', 'apia_options_obl_do_action_1'})>)
3.07	0.03	2.86
